epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
82,24824.3,0.64767,0.0607,0.04726,0.26308,0.0092,0,0.99188,0.99097,0.99365,0.92877,0.99018,0.98927,0.99357,0.99352,0.43901,0.02008,0.00757,0.13202,0.00855,0,0.0022148,0.0022148,0.0022148
83,25073.2,0.64679,0.05939,0.04735,0.26129,0.00916,0,0.99207,0.98953,0.99363,0.92905,0.99036,0.98783,0.99348,0.99346,0.43764,0.02001,0.00758,0.13145,0.00853,0,0.00216344,0.00216344,0.00216344
84,25322.3,0.64646,0.06194,0.04903,0.26217,0.00919,0.00359,0.99175,0.99067,0.99362,0.92902,0.98996,0.98901,0.99345,0.9934,0.43675,0.01996,0.00736,0.13129,0.00851,0,0.00211225,0.00211225,0.00211225
85,25571.3,0.64924,0.06012,0.04883,0.25995,0.00922,0,0.99316,0.99123,0.99372,0.92981,0.99146,0.98953,0.99357,0.99354,0.43561,0.01995,0.00732,0.13013,0.00849,0,0.00206123,0.00206123,0.00206123
86,25819.6,0.64511,0.06092,0.04824,0.26134,0.00915,0,0.99319,0.99058,0.99376,0.93003,0.99149,0.98888,0.9936,0.99357,0.43483,0.01992,0.0073,0.13022,0.00847,0,0.00201042,0.00201042,0.00201042
87,26068.8,0.64198,0.05892,0.04762,0.2587,0.00914,0,0.99312,0.99032,0.99383,0.93109,0.99147,0.9886,0.9937,0.99365,0.43317,0.01989,0.00729,0.13,0.00844,0,0.00195983,0.00195983,0.00195983
88,26318,0.6416,0.05884,0.04759,0.25408,0.00905,0,0.99413,0.98992,0.99385,0.93102,0.99242,0.98822,0.9937,0.99366,0.43234,0.01985,0.00729,0.12985,0.00842,0,0.00190949,0.00190949,0.00190949
89,26565.3,0.63954,0.05938,0.04683,0.25572,0.00908,0,0.99371,0.99084,0.99386,0.93101,0.99204,0.98914,0.99372,0.99368,0.4313,0.01983,0.0073,0.12832,0.0084,0,0.00185942,0.00185942,0.00185942
90,26813.5,0.64017,0.05999,0.04838,0.25594,0.009,0.00077,0.99344,0.99143,0.99383,0.93157,0.99174,0.98973,0.99368,0.99365,0.43005,0.0198,0.00729,0.12775,0.00837,0,0.00180965,0.00180965,0.00180965
91,27061.7,0.63723,0.05864,0.04677,0.25638,0.00906,0,0.99076,0.99333,0.99368,0.93201,0.99147,0.98908,0.99357,0.99354,0.42905,0.01977,0.00731,0.12769,0.00836,0,0.00176018,0.00176018,0.00176018
